,toxic
1234,0
7529,0
5695,0
1836,1
1022,0
651,0
2729,0
3381,1
3518,1
779,1
295,0
5629,1
5588,1
7632,1
1087,1
72,1
1644,1
4532,0
5814,1
4200,1
5860,1
6855,0
3003,1
6692,0
1772,1
5926,1
6897,1
3638,0
3474,0
3748,1
6999,1
7049,1
6645,1
4644,1
4563,0
7294,1
7799,1
7819,1
2183,1
3702,1
4929,1
987,1
499,1
444,1
2552,1
7195,0
5757,1
7568,1
1278,1
6160,1
7783,0
3308,1
1327,1
6749,1
1380,1
5084,0
1711,1
1014,1
7673,1
963,1
3437,1
1270,1
3443,0
1216,1
44,1
7534,1
3346,1
5075,1
2802,1
2722,0
978,1
4341,1
495,1
1784,1
2776,1
6783,1
7345,1
2919,0
1541,1
2908,1
3589,0
6389,1
4969,1
3667,1
6613,0
5157,1
722,1
6738,1
895,0
4934,0
3826,0
1742,1
4691,1
4398,0
7150,1
737,1
4875,1
1140,1
5520,1
3280,0
7348,1
7665,0
167,1
912,0
4433,0
1292,1
1282,1
1894,1
4178,1
7231,1
5552,0
3264,0
134,1
3113,1
1003,0
5796,0
7772,0
4806,1
3654,1
4012,1
454,1
1534,1
3541,1
6301,1
3143,1
7383,1
613,1
5599,1
7262,0
162,1
4476,1
7107,0
6902,0
5372,0
2878,1
7090,1
2010,1
5199,0
700,1
487,1
794,0
3289,1
7769,0
7430,1
50,0
5837,1
1082,0
5754,1
5694,1
1856,1
6786,1
3542,1
5460,1
2194,0
7170,0
2088,1
7377,1
7739,1
7582,1
1029,1
3618,1
4642,1
4037,1
5210,1
7115,0
2380,0
6221,0
3632,0
1812,1
521,0
4615,1
4606,1
5070,1
3673,0
7196,1
1532,1
4859,0
4805,1
3226,1
541,1
958,1
5288,1
6191,1
6450,1
1284,0
7614,0
5824,1
1653,1
6611,0
3254,1
4496,0
125,0
152,0
7581,1
5701,1
5530,1
2138,0
7221,1
6618,1
5787,1
6404,1
1364,0
4497,1
3484,1
3671,0
1571,1
234,1
4166,0
1855,1
200,1
3053,0
6734,1
7371,1
7465,0
7026,1
3216,1
533,0
156,1
4914,0
3658,1
6228,1
7655,1
528,0
5484,0
6402,0
3698,1
5436,1
4635,1
1983,0
304,1
39,0
3718,1
6802,1
916,0
2609,1
4222,0
4804,1
6763,1
3584,1
7276,0
1749,0
2409,0
5261,0
629,1
2818,1
7431,1
4581,1
4173,0
6118,0
7613,0
7298,0
5979,1
1953,0
7145,1
5739,1
3322,1
2230,0
2589,1
7768,0
7205,1
2831,0
4137,0
3729,0
3743,0
277,1
7085,1
4815,0
6202,1
5874,1
2785,1
5568,0
3127,1
888,1
4918,1
1574,1
5373,1
2197,1
5227,0
7750,0
2044,1
5342,0
5088,0
3179,1
7775,0
5281,0
3488,0
7631,0
5702,1
7715,1
3203,1
2273,1
3570,0
1940,0
4702,1
98,1
6113,1
558,1
1918,1
154,0
1353,1
2484,0
226,1
2892,1
4007,1
5051,0
5735,0
5338,1
2190,1
5707,0
140,1
6243,1
6224,1
394,1
944,0
593,1
42,1
7141,1
4090,0
5833,1
891,1
7055,0
6845,0
1515,1
2071,1
834,1
4681,0
4092,1
5439,1
6664,1
356,0
2491,1
3832,0
4254,1
6977,1
4780,1
229,0
5705,0
6102,0
224,1
3737,1
1832,0
4687,1
3504,0
1370,1
2935,1
4401,1
5098,0
3054,1
642,0
7707,1
3223,0
2887,1
3197,1
4927,1
3814,1
5065,1
4292,1
5167,1
6084,1
938,1
2711,0
5259,1
5957,0
1142,1
1277,1
7766,0
5458,1
543,1
6907,1
38,0
5784,1
6728,1
49,1
2371,1
3892,1
217,0
6403,1
6748,1
7093,1
2163,1
4510,1
1767,1
6456,0
273,1
1255,1
3979,0
3077,1
725,1
4630,1
462,0
4149,1
4087,1
7154,0
6627,1
4837,0
4327,0
693,1
6662,0
2548,0
6959,0
451,1
5930,1
3500,1
144,1
2358,1
5604,1
2554,0
5272,1
5327,1
1923,1
2077,0
5836,1
4394,1
641,0
158,1
4352,1
3961,1
4403,1
311,0
3366,0
6219,0
7496,1
532,0
5312,1
5172,1
3103,1
1091,0
6874,1
147,1
7318,0
233,1
5571,1
2191,1
6263,1
6322,1
1857,1
509,1
6549,0
771,0
6647,0
33,1
4723,1
4363,1
5125,0
2591,1
2646,0
1358,1
979,1
5775,0
5262,1
6590,0
6745,1
5321,1
3934,1
1103,1
2243,1
3382,1
1901,1
5680,0
4713,1
2916,1
4573,0
2034,1
5953,1
3405,1
4371,1
2605,1
188,1
1122,1
176,0
6293,1
548,1
5067,1
4410,1
1591,1
5229,1
244,1
296,1
347,1
684,1
6159,1
4251,1
4803,1
409,1
6527,1
6136,0
6361,1
4021,0
1381,1
6307,1
7074,1
6936,1
7435,1
1524,1
257,0
3355,0
7675,1
2673,1
5091,1
5498,0
6952,0
90,1
4353,1
6656,1
29,0
6384,1
3510,1
1412,0
5253,1
2947,0
3338,1
1085,0
1468,1
4020,0
4133,0
5123,1
1820,0
1400,1
5036,1
1374,0
2876,1
2432,1
202,0
4050,1
3833,0
3290,1
3427,1
4428,0
2005,0
7469,1
4069,0
7080,0
6891,0
2460,0
210,1
3013,1
1365,1
6979,0
3122,1
2546,1
5905,1
4769,0
5000,1
6640,1
5266,0
6094,1
119,0
878,1
3878,0
3030,1
5842,1
5616,0
6218,1
5163,1
1813,1
6823,1
2975,1
7396,1
3799,1
2165,0
519,1
5144,1
6236,0
317,0
5690,0
3101,1
6198,1
572,0
3770,1
3959,1
574,0
2420,0
4366,1
4274,0
7214,1
6134,0
5769,0
4767,1
6591,0
2522,1
1168,1
7656,1
1423,1
214,0
4898,1
2891,1
4811,1
1831,1
6177,1
2439,1
7537,1
852,1
7620,1
1530,1
1456,0
526,1
982,0
7138,1
5652,1
2091,1
4923,0
2779,0
5195,1
2949,1
5455,0
2572,1
313,1
5335,0
467,1
3639,0
2918,1
4105,1
4786,1
4416,0
7018,1
7121,0
6370,1
5547,1
5670,1
4307,1
5307,1
4206,1
294,1
3379,1
4935,0
1862,0
7112,1
1261,1
4886,0
7058,0
5114,1
456,1
1527,1
4867,0
4905,1
5838,1
527,0
2463,1
2827,0
3102,1
1655,1
865,1
2875,0
6803,0
4480,1
2965,0
51,0
692,1
4145,1
1671,0
7334,0
7814,0
7295,0
864,1
1958,1
1975,0
1871,1
6821,1
479,0
7333,1
2150,0
5741,0
4361,1
6569,1
2064,1
5901,1
2268,0
65,1
2952,1
2731,1
6193,1
2235,1
5302,1
5663,0
4364,1
1941,0
1335,0
7273,0
2720,0
378,1
5662,1
6411,1
4185,1
683,1
5877,1
4349,1
5789,0
7454,1
3200,1
2926,1
4750,1
2943,1
1455,1
148,1
6629,1
4807,1
6767,1
2039,1
7434,1
3788,1
2313,1
5474,1
5578,0
4861,1
6392,1
4054,0
6173,0
713,1
2037,1
2279,0
6318,1
4985,0
1956,1
2808,1
6824,0
5082,1
7104,0
4395,1
1978,1
4738,0
3527,0
2647,1
2618,1
2660,0
5579,1
1156,1
6345,0
2375,0
5889,1
989,1
6771,0
2568,0
6720,1
2737,1
5799,1
3446,1
2236,0
2653,0
6535,0
7073,0
4127,0
5362,0
5956,0
7658,1
6861,1
719,1
7563,0
3022,0
5286,1
2583,0
1727,1
3587,1
7361,1
3619,1
5337,1
1834,1
3115,0
7603,1
6827,0
1434,0
2764,1
6138,1
4928,1
2195,0
1703,0
7045,1
2800,1
6901,1
3341,1
2267,1
5326,0
5394,0
1818,1
5983,1
6974,0
7793,1
2755,0
1259,1
7717,1
842,1
5499,1
2123,0
2101,0
1954,1
2244,0
3713,1
3740,1
7398,1
3529,0
773,1
4099,1
4414,0
2066,1
3263,1
5292,1
3930,1
247,1
5955,1
4582,1
4303,0
7261,1
502,1
1399,0
2056,1
4248,1
2679,0
3406,1
6881,1
4600,1
3998,1
2655,0
6976,0
1688,1
170,1
5264,1
4130,0
4522,1
464,1
4170,1
6371,0
5923,1
3124,1
1892,0
7306,0
2468,0
2895,1
980,1
4665,0
2031,1
3016,0
4718,1
2032,1
6108,1
4758,1
1890,0
3601,1
5180,1
31,0
3931,1
1622,1
1143,0
5233,0
318,1
2426,1
418,0
2545,0
5459,1
6334,1
1449,1
3191,1
7681,1
2453,1
7366,1
6844,0
800,1
5650,1
1454,0
2321,1
5534,1
874,1
1625,1
7022,1
6985,1
5646,1
6858,1
3520,1
5466,0
3256,0
1457,1
6353,1
7193,0
5596,1
882,1
2555,1
287,1
2563,1
14,1
1172,1
3436,1
3662,1
1882,1
2872,1
5071,1
4731,1
1907,1
5339,1
1929,1
6822,1
7056,1
138,1
7611,0
2135,0
2173,1
6123,1
1747,1
4430,1
4369,0
1121,1
2007,1
4906,0
1776,1
5560,1
4008,1
5866,0
5752,0
4561,1
422,1
6847,1
4484,1
6612,0
6507,0
1947,1
3175,1
733,1
3715,1
6648,1
1070,1
559,1
2763,0
4204,1
4279,0
6256,1
6116,0
6609,1
3732,0
2224,1
4485,1
5532,1
5220,1
3943,0
5601,1
2125,1
393,1
2850,0
3537,1
3757,1
6227,1
3643,1
5368,1
6150,1
1066,1
831,0
7463,1
578,0
5649,1
2176,0
6599,1
4963,1
971,1
194,0
7623,1
3072,1
1220,0
3165,1
6199,1
5939,1
5598,0
2826,1
2349,1
7316,1
3076,1
5328,0
3045,1
6706,1
5156,1
3954,0
768,1
7110,1
5429,1
7543,0
4547,0
5570,0
1462,1
1344,1
3265,1
159,1
994,0
5127,1
3236,0
1237,1
7144,1
3084,1
5952,0
3704,1
5800,1
2179,1
1294,0
2462,0
4038,1
6794,1
635,1
6604,0
6230,0
7791,1
1034,1
7597,1
290,0
2614,1
227,1
4265,1
5423,1
4602,1
2218,1
1706,0
4772,1
634,1
2233,1
704,1
6405,1
5230,1
3995,1
6704,1
7349,1
4302,1
191,1
6589,1
1161,1
4992,0
1035,1
530,0
6005,1
420,1
5407,1
1743,0
1485,1
1246,1
7060,1
291,1
1060,0
7443,0
6416,0
3787,1
1235,1
6894,1
3543,0
2280,0
5443,1
1132,1
2807,1
5941,1
7615,0
48,1
4829,1
2504,0
4893,1
5441,0
1667,1
6409,1
6373,0
4275,0
6808,1
2607,1
3062,1
4345,1
3795,1
840,1
2096,1
4776,1
667,1
5456,0
1643,1
3070,1
5960,1
2295,1
6122,0
2820,0
1283,1
4142,1
133,1
2253,1
7174,1
1426,1
5863,1
6583,1
7486,1
2604,1
124,1
4618,0
3727,0
3837,1
4408,1
6286,1
3344,0
4919,1
3710,1
4583,1
6058,0
4880,1
6246,1
2332,1
976,1
3384,1
4131,1
4432,1
6555,1
2529,1
7578,1
4139,1
1996,0
7200,0
1844,1
2587,0
5193,1
1051,1
6670,1
6707,1
3928,0
5457,1
6983,1
475,0
1652,1
4393,1
3413,1
5197,1
6578,1
3990,1
2894,1
1516,1
7756,1
7698,0
2557,0
2503,1
7308,0
7477,1
7274,1
3620,1
6480,0
143,1
1984,1
6245,1
2553,1
3705,1
4850,0
3306,1
4308,1
4768,1
3985,0
4089,1
1838,0
6448,1
875,1
7091,1
2068,1
6509,0
2456,1
2633,1
2540,1
3607,1
1579,0
6909,1
5442,1
1816,1
5383,0
7098,1
4652,1
4788,1
6297,1
2042,1
751,1
6466,1
1008,1
2404,1
472,1
3572,0
6247,1
1915,1
4778,1
5618,1
7397,1
3590,1
4314,1
439,0
263,0
1586,1
